vlan,desc
11,VLAN11-Management-IT
96,VLAN96-SecDevTest
97,VLAN97-DMZ
99,VLAN99-FirewallInside
100,VLAN100-Management
102,VLAN102-SecurityServers
103,VLAN103-ServerBackEnd
104,VLAN104-ServerFrontEnd
105,VLAN105-iSCSIStorage
106,VLAN106-SecureServerFE
107,VLAN107-Replication
108,VLAN108-Development
109,VLAN109-SecuredDevelopment
110,VLAN110-vDesktop
111,VLAN111-SecuredvDesktop
119,VLAN119-ManagementUCS
125,VLAN125-VPN
126,VLAN126-vMotion
131,VLAN131-iSCSI_1
132,VLAN132-iSCSI_2
133,VLAN133-NFS
135,VLAN135-IsilonExt
141,VLAN141-DRReplication
142,VLAN142-DRTesting
151,VLAN151-ManagementHP
162,VLAN162-ThirdPartyvDesktop
210,VLAN210-Internet
212,VLAN212-LegacyDMZ
411,VLAN411-vmgWeb
412,VLAN412-vmgApplication
414,VLAN414-vmgView
511,VLAN511-vmgDatabase
512,VLAN512-vmgStorage
513,VLAN513-vmgDev
611,VLAN611-LegacyServerFE
612,VLAN612-vmgIT
621,VLAN621-vmgCorp
622,VLAN622-vmgProc
